dialog,act,emotion
"[|Can you do push-ups ? |
 | Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . |
 | Really ? I think that's impossible ! | | You mean 30 push-ups ? |
 | Yeah ! |
 | It's easy . If you do exercise everyday , you can make it , too . |]",[2 1 2 2 1 1],"[0,0,6,0,0,0]"
"[|Hey John , nice skates . Are they new ? |
 | Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . |
 | What position do you play ? |
 | I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . |
 | Yeah , you ’ re a pretty big guy . I play goalie , myself . |
 | Oh , yeah ? Which team ? | | The Rockets . |
 | Really ? I think we play you guys next week . Well , I have to go to practice . See you later . |
 | All right , see you later . |]",[2 1 2 1 1 2 1 3 4],"[0,0,0,0,0,6,0,6,0]"
"[|Hey Lydia , what are you reading ? |
 | I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! |
 | What are you talking about ? Let me see that ... What are horoscopes ? |
 | It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? |
 | January 5th . |
 | Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! |
 | That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . |
 | No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . |
 | Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? |
 | A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! |]",[2 1 2 2 1 1 1 1 2 1],"[0,4,0,0,0,4,0,0,0,4]"
"[|Frank ’ s getting married , do you believe this ? | | Is he really ? |
 | Yes , he is . He loves the girl very much . | | Who is he marring ? |
 | A girl he met on holiday in Spain , I think . |
 | Have they set a date for the wedding ? | | Not yet . |]",[2 2 1 2 1 2 1],"[0,6,0,0,0,0,0]"
"[|I hear you bought a new house in the northern suburbs . |
 | That ’ s right , we bought it the same day we came on the market . |
 | What kind of house is it ? | | It ’ s a wonderful Spanish style . |
 | Oh , I love the roof tiles on Spanish style houses . |
 | And it ’ s a bargaining . A house like this in river side costs double the price . |
 | Great , is it a two bedroom house ? |
 | No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . |
 | That ’ s a nice area too . It ’ ll be a good investment for you . |
 | Yeas , when will you buy a house ? |
 | Not untill the end of this year , you know , just before my wedding . |
 | Right , congratulations . | | Thank you . |]",[1 1 2 1 1 1 2 1 1 2 1 1 1],"[0,0,0,4,4,4,4,0,4,0,0,4,4]"
"[|Hi , Becky , what's up ? |
 | Not much , except that my mother-in-law is driving me up the wall . |
 | What's the problem ? |
 | She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . |
 | For example ? |
 | Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . |
 | No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . |
 | It's not just that . She also criticizes how we raise the kids . |
 | My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . |
 | You said she used to ? How did you stop her ? |
 | We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . |
 | That sounds like a good idea . I'll have to try that . |]",[2 1 2 1 2 1 1 1 1 2 1 1],"[0,0,0,0,0,0,0,0,0,0,0,4]"
"[|Do you like cooking ? |
 | Yes . I like cooking very much . I got this hobby when I was 12 years sold . |
 | Why do you like it ? |
 | I have no idea . I like cooking by myself . I like to taste delicious food . |
 | That's wonderful ! |
 | And I love trying new recipes , which I usually test with my friends . You can come , too . |
 | Really ? I hope I can have a chance to taste it . Don't forget to tell me . |
 | Certainly . |]",[2 1 2 1 1 3 4 1],"[0,4,0,0,4,0,6,0]"
"[|You look so tan and healthy ! |
 | Thanks . I just got back from summer camp . | | How was it ? |
 | Great . I got to try so many things for the first time . |
 | Like what ? | | I went sailing , fishing , and horseback riding . |
 | I ’ m so jealous . |
 | The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! |]",[1 1 2 1 2 1 1 1],"[4,4,0,4,0,0,0,4]"
"[|Diana , do you like the perfume I gave you ? |
 | It ’ s good . But to tell you the truth , I don ’ t wear perfume . |
 | I ’ m sorry . I didn ’ t know that . |
 | That ’ s all right . Thank you all the same . |]",[2 1 1 1],"[0,0,0,4]"
"[|Hi Bill , I saw your grandma yesterday . | | Oh where was that ? |
 | I was running around the track at my college and there she was walking around the same track . |
 | Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . |
 | Well , it pays off for her.How old is she anyway ? |
 | She will be 86 next month . | | That is truly amazing ! |]",[1 2 1 1 2 1 1],"[0,0,0,0,0,0,6]"
"[|Dad , why are you taping the windows ? |
 | Honey , a typhoon is coming . |
 | Really ? Wow , I don't have to go to school tomorrow . |
 | Jenny , come and help , we need to prepare more food . |
 | OK . Dad ! I'm coming . |]",[2 1 1 3 4],"[0,0,6,0,0]"
"[|Hi , my name is Lean , and I'm from Russia . |
 | Nice to meet you , Lean . My name is Alike . I'm from Japan . |
 | To me English is a difficult language . |
 | A second language is always difficult . |
 | True , but English is harder than most . It's a crazy language . |
 | A crazy language ? Why do you say that ? |
 | One letter can have several pronunciations and one word can have several meanings . |
 | No wonder you say English is a crazy language . |]",[1 1 1 1 1 2 1 1],"[0,0,0,0,0,6,0,0]"
