Unnamed:0,author sentiment,sentiment,text,date,likecount,movie
1,@akamatsuken,4,"- That scene makes everyone cry
- What do you mean everyone?
- EV-RY-ONE !",2013-04-22T19:05:15Z,887,sad_video3 Leon the profession (1).xlsx
2,@joekerr1763,0,"Leon knew he was living his last moments on Earth, which is why he took off the gas mask and took another route outside down the stairs. He knew Stansfield would catch up to him, would definitely kill Matilda if he didn't do anything to stop him, and so he went out like the Guardian Angel to Matilda that he was. Hero.",2016-06-18T21:22:33Z,756,sad_video3 Leon the profession (1).xlsx
3,@Guhsteh,1,I just watched this movie for the first time...What a masterpiece..,2016-10-07T08:46:05Z,616,sad_video3 Leon the profession (1).xlsx
4,@garyburley2283,0,"what a fantastic villain Gary oldman makes, best villain i've ever seen 'SHIT'",2018-04-14T15:38:50Z,446,sad_video3 Leon the profession (1).xlsx
5,@skatemetrix,0,0:47 Stanfield hiding behind that door to the left.,2017-04-25T17:03:53Z,415,sad_video3 Leon the profession (1).xlsx
6,@djordjebogojevic5087,0,Stansfield's last word is the most accurate description of himself.,2018-07-05T21:49:18Z,395,sad_video3 Leon the profession (1).xlsx
7,@melissaderp8357,1,i love how there is no gun shot sound only a yellowish light then the scene afterwards god such a good movie,2016-09-21T11:34:32Z,318,sad_video3 Leon the profession (1).xlsx
8,@ProgrammedForDamage,1,The entire audience in the cinema where I saw this stood up and cheered when he got blown up.  I have never seen that happen before or since.  Stansfield is so detestable.,2012-11-08T04:42:39Z,171,sad_video3 Leon the profession (1).xlsx
9,@Sadman9109,4,When leon died it felt like i lost a true friend :(,2012-12-02T05:26:30Z,144,sad_video3 Leon the profession (1).xlsx
10,@akamatsuken,0,"No matter how many time I watch the scene, I still hope Leon and Matilda will be united at the end of it",2013-03-05T20:20:59Z,135,sad_video3 Leon the profession (1).xlsx
11,@getyapaper,1,The best thing about this scene is that he actually managed to fullfill his contract and finish the job. A true professional!,2022-12-15T19:12:36Z,115,sad_video3 Leon the profession (1).xlsx
12,@TheBadwolf007,0,"Stansfield: ''At your service''
Did he say that out of respect or out of the feeling that he beat Leon?",2014-04-03T04:25:00Z,110,sad_video3 Leon the profession (1).xlsx
13,@dramatic5293,0,"That last ""Shit"" always gets me",2018-06-19T15:31:46Z,100,sad_video3 Leon the profession (1).xlsx
14,@rodmclean2066,1,"If ever a movie deserved the title MASTERPIECE ..... this is it. Direction, Acting, Cinematography, Script - Everything is Superb  A Timeless  Masterpiece 
Leon...... a professional to the very end.",2020-06-20T14:03:09Z,93,sad_video3 Leon the profession (1).xlsx
15,@ShiningSilvally,4,"Rest in peace, Léon. AND REST IN PAIN, STANSFIELD.",2018-12-31T02:45:02Z,90,sad_video3 Leon the profession (1).xlsx
16,@2004thegrudge,4,saddest scene ever in film,2013-10-11T14:26:45Z,78,sad_video3 Leon the profession (1).xlsx
17,@th3blU3lYnx,4,"Leon's last word, prononced in pain : ""Mathilda...""
A last word wonderfully made equally sad and poetic by the music",2021-02-17T23:28:09Z,77,sad_video3 Leon the profession (1).xlsx
